Time,Temperature,Humidity,Speed,Flame Sensor,Front Sensor,Back Sensor,Latitude,Longitude,Drowsiness
Time,Temperature,Humidity,Speed,Flame Sensor,Front Sensor,Back Sensor,Latitude,Longitude,Drowsiness
09:55:15,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:16,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:16,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:16,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:16,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:16,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:20,30.60,96.4,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:21,30.60,96.4,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:21,30.60,96.4,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:21,30.60,96.4,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:21,30.60,96.4,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:21,30.60,96.4,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:22,30.50,96.4,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:23,30.50,96.4,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:23,30.50,96.4,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:23,30.50,96.4,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:23,30.50,96.4,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:23,30.50,96.4,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:24,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:25,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:25,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:25,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:25,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
